Fund Name,ISC Number,Simplified Fund Name
Canadian Growth Company Class,ISC 4719,Cdn. Growth Co.
Canadian Large Cap Class,ISC 4723,Cdn. Large Cap
Canadian Opportunities Class,ISC 4735,Cdn. Opp.
Greater Canada Class,ISC 4862,Greater Cdn. Cl.
Special Situations Class,ISC 4944,Special Situations
American Equity Class,ISC 4667,American Eq.
Insights Class,ISC 5499,
Small Cap America Class,ISC 4928,Small Cap Am.
U.S. Growth Opp Systematic Currency Hedged Class,ISC 6980,U.S. Growth Opp.
CanAm Opportunities Class,ISC 4986,CanAm Opp.
AsiaStar Class,ISC 4683,
Climate Leadership,ISC 7245,
Founders Class,ISC 6275,
Global Concentrated Equity Class,ISC 4792,Global Concentrated
Global Growth and Value Class,ISC 4012,Global Growth & Value
Global Innovators Class,ISC 5976,
Global Intrinsic Value Class,ISC 4832,Global Intrinsic Value
Long-Term Leaders,ISC 6952,L-T Leaders
Canadian Balanced Class,ISC 4702,Cdn. Bal. Class
Income Allocation,ISC 4477,
Global Monthly Income,ISC 4436,Global Mthly Inc.
Multi-Asset Innovation,ISC 7160,Multi-Asset Inn.
Tactical High Income,ISC 4582,Tactical High Inc.
Global Balanced Class Portfolio,ISC 4781,Global Bal. Port.
Global Growth Class Portfolio,ISC 4814,Global Growth Port.
Global Income Class Portfolio,ISC 4824,Global Inc. Port.
